date,cash_usd,positions_mv_usd,interest_usd,net_flows_usd,nav_usd,open_positions,core_bench_cum,cash_bench_cum,flags,daily_return,cum_return,drawdown,alpha_vs_core,alpha_vs_cash
2026-09-09,92007.99,0.0,0.0,-7992.01,92007.99,1,-0.0035,0.0,EYDAP:ATSE:NO_PRICE,0.0,-0.07992,0.0,-0.07642,-0.07992
2026-09-10,92018.07,0.0,10.08,0.0,92018.07,1,-0.008463,0.000107,EYDAP:ATSE:NO_PRICE,0.00011,-0.079819,0.0,-0.071356,-0.079926
2026-09-11,92028.16,0.0,10.08,0.0,92028.16,1,-0.00078,0.000215,EYDAP:ATSE:NO_PRICE,0.00011,-0.079718,0.0,-0.078938,-0.079933
2026-09-14,92058.41,0.0,30.26,0.0,92058.41,1,-0.007579,0.000537,EYDAP:ATSE:NO_PRICE,0.000329,-0.079416,0.0,-0.071837,-0.079953
2026-09-15,92068.5,0.0,10.09,0.0,92068.5,1,-0.012679,0.000645,EYDAP:ATSE:NO_PRICE,0.00011,-0.079315,0.0,-0.066636,-0.07996
2026-09-16,92078.59,0.0,10.09,0.0,92078.59,1,-0.008055,0.000752,EYDAP:ATSE:NO_PRICE,0.00011,-0.079214,0.0,-0.071159,-0.079966
2026-09-17,92088.68,0.0,10.09,0.0,92088.68,1,-0.005812,0.00086,EYDAP:ATSE:NO_PRICE,0.00011,-0.079113,0.0,-0.073301,-0.079973
2026-09-18,92098.77,0.0,10.09,0.0,92098.77,1,-0.009415,0.000968,EYDAP:ATSE:NO_PRICE,0.00011,-0.079012,0.0,-0.069597,-0.07998
2026-09-21,92129.05,0.0,30.28,0.0,92129.05,1,0.002619,0.00129,EYDAP:ATSE:NO_PRICE,0.000329,-0.078709,0.0,-0.081328,-0.079999
